id,insult
1,1
2,1
3,0
4,0
5,0
6,1
7,0
8,1
9,1
10,1
11,1
12,1
13,0
14,1
15,0
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,1
24,0
25,1
26,1
27,1
28,0
29,1
30,1
31,1
32,0
33,0
34,1
35,0
36,0
37,1
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,0
54,1
55,0
56,0
57,1
58,0
59,1
60,1
61,1
62,0
63,0
64,0
65,0
66,1
67,1
68,0
69,0
70,1
71,0
72,1
73,0
74,0
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,0
83,1
84,1
85,0
86,1
87,0
88,1
89,1
90,0
91,0
92,1
93,0
94,0
95,0
96,0
97,0
98,1
99,0
100,1
101,0
102,1
103,1
104,1
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,0
115,1
116,0
117,0
118,1
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,0
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,1
144,0
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,1
154,1
155,0
156,0
157,1
158,1
159,0
160,1
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,0
170,0
171,1
172,1
173,1
174,1
175,1
176,0
177,1
178,0
179,0
180,1
181,1
182,0
183,0
184,0
185,0
186,1
187,0
188,1
189,1
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,1
200,1
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,1
209,0
210,0
211,1
212,0
213,0
214,0
215,0
216,1
217,1
218,0
219,1
220,1
221,0
222,1
223,0
224,1
225,0
226,1
227,0
228,0
229,1
230,0
231,1
232,1
233,0
234,1
235,0
236,1
237,1
238,1
239,0
240,1
241,0
242,0
243,1
244,0
245,1
246,0
247,0
248,0
249,1
250,1
251,0
252,0
253,0
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,0
264,0
265,0
266,0
267,1
268,1
269,1
270,0
271,0
272,0
273,1
274,1
275,0
276,1
277,1
278,0
279,0
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,1
300,1
301,1
302,1
303,0
304,0
305,1
306,1
307,1
308,1
309,1
310,1
311,0
312,1
313,1
314,0
315,0
316,1
317,1
318,0
319,0
320,1
321,0
322,0
323,1
324,0
325,0
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,0
336,0
337,0
338,0
339,1
340,0
341,0
342,0
343,1
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,0
352,0
353,1
354,1
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,0
369,1
370,0
371,1
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,1
381,0
382,1
383,0
384,0
385,1
386,1
387,1
388,0
389,0
390,0
391,0
392,0
393,1
394,1
395,1
396,1
397,0
398,0
399,0
400,0
401,0
402,0
403,1
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,0
419,1
420,0
421,1
422,0
423,1
424,0
425,1
426,0
427,0
428,0
429,0
430,1
431,0
432,1
433,1
434,1
435,0
436,0
437,0
438,0
439,0
440,1
441,0
442,1
443,1
444,0
445,0
446,0
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,1
467,0
468,1
469,1
470,1
471,0
472,1
473,0
474,1
475,1
476,1
477,0
478,1
479,1
480,0
481,0
482,0
483,1
484,1
485,1
486,0
487,0
488,0
489,0
490,0
491,0
492,1
493,0
494,1
495,1
496,1
497,1
498,1
499,0
500,0
501,1
502,1
503,1
504,0
505,0
506,0
507,1
508,1
509,0
510,0
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,0
519,1
520,1
521,1
522,0
523,1
524,0
525,1
526,1
527,0
528,0
529,0
530,0
531,1
532,0
533,1
534,0
535,0
536,0
537,0
538,1
539,1
540,0
541,0
542,0
543,1
544,0
545,0
546,1
547,0
548,1
549,0
550,1
551,0
552,0
553,0
554,0
555,1
556,1
557,0
558,1
559,1
560,0
561,1
562,1
563,0
564,1
565,1
566,1
567,1
568,1
569,0
570,0
571,1
572,1
573,1
574,1
575,0
576,0
577,0
578,1
579,1
580,1
581,0
582,1
583,1
584,0
585,0
586,1
587,0
588,1
589,0
590,0
591,1
592,1
593,0
594,1
595,0
596,0
597,1
598,1
599,0
600,1
601,1
602,1
